engine,anion,cation,Ka_M-1,Ka_err_M-1,p_bound,p_err,r_pmf_min,pmf_min,pmf_min_seom
namd_tip,acet,guan,2.0728817441316907,0.0589386872482695,0.3801457130501347,0.0329901758197253,3.85665,-2.21542,0.00347
namd_tip,esna,guan,1.1379403112733046,0.0417827669896902,0.2788522911543534,0.0433791285890134,4.1575,-1.32131,0.00701
namd_tip,mso4,guan,0.900250255828741,0.0336648756363111,0.2434596962471836,0.0447092355693346,4.72172,-0.89211,0.00701
namd_tip,acet,imim,0.8249371330038855,0.0334972228967568,0.2315874988618763,0.0487761657814678,4.35765,-1.09442,0.00639
namd_tip,esna,imim,0.4848980786660685,0.0216564014423054,0.1601909435727917,0.0555967529087301,4.593,-0.48895,0.00799
namd_tip,mso4,imim,0.535374319325485,0.0235199643988169,0.1722059201953575,0.0543113963498619,4.87439,-0.52963,0.00846
namd_tip,acet,mamm,0.759038899953066,0.0380257937992402,0.220977360544606,0.060448080518752,3.49695,-1.50891,0.00709
namd_tip,esna,mamm,0.3418261539505367,0.0198207011311211,0.1239822739376436,0.0738666671505763,3.72731,-0.78886,0.0094
namd_tip,mso4,mamm,0.2828751496806,0.0177285536851593,0.1068751461830274,0.0808087255432586,4.00843,-0.82783,0.0081
namd_tip_scaled,acet,guan,0.7989504143969577,0.0281113268006133,0.2265821444934185,0.0423531104841732,4.14899,-0.69779,0.00764
namd_tip_scaled,esna,guan,1.214563705242417,0.036502388296298,0.2880287998461429,0.0354139990655081,4.38117,-0.90576,0.00732
namd_tip_scaled,mso4,guan,1.1789893815738204,0.0379162901018854,0.2839468533817768,0.0379386154891747,4.58873,-0.86514,0.00696
namd_tip_scaled,acet,imim,0.4589498774692114,0.020439596959032,0.1545405156973683,0.0556272981526333,4.44217,-0.37243,0.00924
namd_tip_scaled,esna,imim,0.6560569894866123,0.0255862103488257,0.1967645524589896,0.0475925999454686,4.67606,-0.54002,0.00744
namd_tip_scaled,mso4,imim,0.7684361951155497,0.0285293654773942,0.2188306086013765,0.0448395987309428,4.17091,-0.65816,0.00772
namd_tip_scaled,acet,mamm,0.2406220519850805,0.0140775725720436,0.0939238112382752,0.0761659299873541,3.64907,-0.59022,0.00855
namd_tip_scaled,esna,mamm,0.3670565977951309,0.0183173375166712,0.1302672538343499,0.0633022944644226,3.80764,-0.6442,0.00837
namd_tip_scaled,mso4,mamm,0.4100205142062008,0.0200675254870072,0.1421350848199092,0.0616049657486003,4.0869,-0.72951,0.00762
namd_tip_scaled_app,acet,guan,0.7989504143969577,0.0281113268006133,0.2265821444934185,0.0423531104841732,,,
namd_tip_scaled_app,esna,guan,1.214563705242417,0.036502388296298,0.2880287998461429,0.0354139990655081,,,
namd_tip_scaled_app,mso4,guan,1.1789893815738204,0.0379162901018854,0.2839468533817768,0.0379386154891747,,,
namd_tip_scaled_app,acet,imim,1.3689100438549917,0.0346334461666225,0.3084232753880263,0.0296615071260769,,,
namd_tip_scaled_app,esna,imim,1.6706995957619473,0.0400242957616988,0.3391622926993616,0.0279230393485897,,,
namd_tip_scaled_app,mso4,imim,1.866949909883114,0.0429020753193289,0.3585181829899212,0.0267149384505891,,,
namd_tip_scaled_app,acet,mamm,0.2406220519850805,0.0140775725720436,0.0939238112382752,0.0761659299873541,,,
namd_tip_scaled_app,esna,mamm,0.3670565977951309,0.0183173375166712,0.1302672538343499,0.0633022944644226,,,
namd_tip_scaled_app,mso4,mamm,0.4100205142062008,0.0200675254870072,0.1421350848199092,0.0616049657486003,,,
openmm,acet,guan,0.6216706988719167,0.0189548279080574,0.192429258335134,0.0372891701367556,4.07659,-0.56717,0.00752
openmm,esna,guan,1.479123677802802,0.0295458437446147,0.3201032993633986,0.0233611894114377,4.45136,-1.30718,0.00364
openmm,mso4,guan,1.4734754772611325,0.0269253692561259,0.3199793230427808,0.021371404318183,4.51795,-1.14651,0.00378
openmm,acet,imim,0.4194296547527407,0.012964338501056,0.1449359005229664,0.0388373362975531,4.5083,-0.37445,0.00604
openmm,esna,imim,0.9087988610825432,0.0189582401007927,0.2429766353987462,0.0249457354729438,4.59917,-0.79328,0.00412
openmm,mso4,imim,1.061275525749606,0.0205543404381074,0.2668341721994829,0.0229663996628408,4.09648,-0.88921,0.00443
openmm,acet,mamm,0.2687911058531805,0.0124927552861066,0.1032659593757372,0.0600858386253063,3.43096,-1.07735,0.00544
openmm,esna,mamm,0.754673483861369,0.0211247574328324,0.2177524784298611,0.0338235434185627,3.58811,-1.58451,0.00371
openmm,mso4,mamm,0.5953025760096262,0.0166388560327882,0.1863794227930557,0.0342897550183992,3.65551,-1.1995,0.0043
